,endTime,artistName,trackName,msPlayed
5262,2020-05-09 09:02,Fleetwood Mac,Eyes of the World - 2016 Remaster,511
5263,2020-05-09 09:02,Fleetwood Mac,Can't Go Back - 2016 Remaster,490
5264,2020-05-09 09:02,Fleetwood Mac,Straight Back - 2016 Remaster,533
5265,2020-05-09 09:02,Fleetwood Mac,Wish You Were Here - 2016 Remaster,490
5266,2020-05-09 09:06,Fleetwood Mac,Gypsy - 2016 Remaster,267033
5267,2020-05-09 09:10,Fleetwood Mac,Book of Love - 2016 Remaster,202674
5268,2020-05-09 09:13,Fleetwood Mac,Love in Store - 2016 Remaster,195026
5269,2020-05-09 09:17,Fleetwood Mac,Only over You - 2016 Remaster,249995
5270,2020-05-09 09:21,Fleetwood Mac,Hold Me - 2016 Remaster,225034
5271,2020-05-09 09:21,Fleetwood Mac,Empire State - 2016 Remaster,6023
5272,2020-05-09 09:56,The Beach Boys,Good Vibrations - Remastered,34773
5273,2020-05-09 10:01,Fleetwood Mac,Hold Me - 2016 Remaster,157162
5274,2020-05-09 10:07,Elton John,Honky Cat,313026
5275,2020-05-09 10:10,Jax Jones,Play,186240
5276,2020-05-09 10:12,The Beatles,Yesterday - Remastered 2015,125320
5277,2020-05-09 10:15,Traveling Wilburys,End Of The Line,209520
5278,2020-05-09 10:16,The Beach Boys,Let's Go Away For A While - Remastered,9760
5279,2020-05-09 10:18,Elton John,Goodbye Yellow Brick Road - Remastered 2014,122965
5280,2020-05-09 12:58,Brian Wilson,Heroes and Villains,35754
5281,2020-05-09 12:58,The Beach Boys,Good Vibrations - Remastered,31018
5282,2020-05-09 13:06,Led Zeppelin,Stairway to Heaven - Remaster,482830
5283,2020-05-09 13:10,Fleetwood Mac,You Make Loving Fun - 2004 Remaster,213693
5284,2020-05-09 13:13,John Lennon,Imagine - Remastered 2010,187866
5285,2020-05-09 13:17,Fleetwood Mac,Welcome to the Room... Sara - 2017 Remaster,221973
5286,2020-05-09 13:17,"Crosby, Stills, Nash & Young",Helpless,1642
5287,2020-05-09 13:17,Boz Scaggs,Breakdown Dead Ahead,32372
5288,2020-05-09 13:21,The Rolling Stones,Bitch - 2009 Mix,217093
5289,2020-05-09 13:40,Deniece Williams,"Let's Hear It for the Boy - From ""Footloose"" Original Soundtrack",262440
5290,2020-05-09 13:43,Fleetwood Mac,I Don't Want to Know - 2004 Remaster,196853
5291,2020-05-09 13:46,Wings,Live And Let Die,193773
5292,2020-05-09 13:52,Pink Floyd,The Trial - 2011 Remastered Version,318846
5293,2020-05-09 13:57,Jim Sullivan,Sandman,128
5294,2020-05-09 13:57,Fleetwood Mac,Go Your Own Way - 2004 Remaster,2026
