artistName,trackName,trackName
DJ Muscleboy,Muscle Club,1
DJ Ötzi,HEY BABY - Radio Mix,1
Daft Punk,Give Life Back to Music,3
Daft Punk,Doin' it Right (feat. Panda Bear),2
Daft Punk,Giorgio by Moroder,2
Daft Punk,Around the World,1
Daft Punk,Beyond,1
Daft Punk,Contact,1
Daft Punk,Fragments of Time (feat. Todd Edwards),1
Daft Punk,Motherboard,1
Daft Punk,One More Time,1
Daft Punk,The Game of Love,1
Daft Punk,Veridis Quo,1
Daft Punk,Within,1
Daryl Hall & John Oates,Maneater,1
Daughtry,Feels Like Tonight,1
David Bowie,Starman - 2012 Remaster,6
David Bowie,Space Oddity - 2015 Remaster,4
David Bowie,Changes - 2015 Remaster,2
David Bowie,Golden Years - 2016 Remaster,2
David Bowie,Come And Buy My Toys,1
David Bowie,Heroes - 2017 Remaster,1
David Bowie,Rebel Rebel - 2016 Remaster,1
David Crosby,Cowboy Movie,2
David Crosby,Lay me down,1
David Crosby,Music Is Love,1
David Gilmour,5 A.M.,1
David Gilmour,Rattle That Lock,1
David Guetta,Stay (Don't Go Away) [feat. Raye],2
David Guetta,Who's That Chick? (feat. Rihanna),1
Dean Martin,That's Amore - Remastered,1
Dean Martin,Volare (Nel Blu Di Pinto Di Blu) - Remastered,1
Deep Purple,Smoke On The Water - Remastered 2012,1
Delaney & Bonnie,"Poor Elijah - Tribute To Robert Johnson - Live: Falconer Theater, Copenhagen, Denmark, December 10, 1969",2
Deniece Williams,"Let's Hear It for the Boy - From ""Footloose"" Original Soundtrack",2
Dennis Wilson,Pacific Ocean Blues,1
Derek & The Dominos,Layla,29
Dick Dale and his Del-Tones,Miserlou,2
Dimitri Tiomkin,Strangers on a Train Suite (arr. J. Mauceri for orchestra),14
Dimitri Tiomkin,Dial M for Murder Suite (arr. J. Mauceri for orchestra),5
Dion,Your Own Back Yard,3
Dion,Only You Know,2
Diplo,Lonely,1
Dire Straits,Sultans Of Swing,95
Dire Straits,Where Do You Think You're Going,74
Dire Straits,Once Upon A Time In The West,64
Dire Straits,Money For Nothing,59
Dire Straits,Down To The Waterline,47
Dire Straits,Wild West End,38
Dire Straits,Walk Of Life,36
Dire Straits,Lady Writer,30
Dire Straits,Southbound Again,26
Dire Straits,Communiqué,11
Dire Straits,Water Of Love,9
Dire Straits,Setting Me Up,8
Dire Straits,Six Blade Knife,8
Dire Straits,In The Gallery,6
Dire Straits,Lions,4
Dire Straits,Brothers In Arms,2
Dire Straits,Why Worry?,2
